fold,n_train,n_test,AUC,accuracy,log_loss,brier
1,4190,1048,0.6476501913961006,0.7576335877862596,0.5290137712868047,0.17475926109072917
2,4190,1048,0.629063448303219,0.7509541984732825,0.5377053801852031,0.1782898219849536
3,4190,1048,0.6897300620797715,0.7547709923664122,0.5217674908072117,0.17002683531347815
4,4191,1047,0.6387331866468873,0.7554918815663801,0.5326214785213873,0.17583239126451589
5,4191,1047,0.6746209450804779,0.7564469914040115,0.5197168873926611,0.17083873243877354
