model,term,coef,std_err,z,p_value,odds_ratio,OR_ci_low,OR_ci_high
M0_full,const,-0.2465904015981217,0.303685868658366,-0.8119916895952959,0.41679640007213326,0.7814607130463558,0.43093252020648315,1.4171147857263324
M0_full,SBP_PER10_DECREASE,0.01347376902634535,0.01296047981279036,1.0396041829445573,0.29852383274517147,1.0135649493060217,0.9881425555693943,1.039641396549056
M0_full,SCR,0.28208121279141757,0.05983291423526834,4.714482261088757,2.423261129956993e-06,1.3258863945496608,1.179170064439099,1.4908576669881137
M0_full,HB,-0.10928663007967193,0.016154002821074404,-6.7652972015763995,1.3303582187578158e-11,0.8964734244199564,0.8685345665413138,0.9253110142657922
M0_full,ACE_INHIBITOR,-0.024233159470244212,0.10572480008038368,-0.22920979232705557,0.8187058619938904,0.9760581060340281,0.793382395443836,1.2007947640705816
M0_full,ARB,0.12267146488046936,0.101385026694885,1.2099564292629248,0.22629561230538675,1.1305129467235835,0.9267795646660059,1.3790329129346188
M0_full,STATIN,-0.12477612330531357,0.06985130524888773,-1.7863105472506604,0.07404899010121851,0.8826944951915816,0.769755639448766,1.0122037850862415
M0_full,DIGOXIN,0.02445281989447394,0.1471730116222067,0.16615016316472722,0.8680387782363304,1.0247542419533748,0.7679727852141972,1.3673938407967725
M0_full,DIURETIC,0.4873333182828522,0.07677763075232627,6.347334679483928,2.1907719560948828e-10,1.627969150835962,1.400531667724494,1.8923410424411156
M0_full,NITRATES,-0.16883963366770016,0.127084058898782,-1.3285665812906953,0.18399100359543985,0.8446443450413154,0.6584150232139203,1.0835476780706441
M0_full,COPD,0.1782641319526249,0.10732494824721887,1.6609757084811292,0.09671832549306922,1.1951409544625196,0.9684204844561616,1.4749397848969614
M0_full,CVA_TIA,0.2968774482293514,0.10752482930394501,2.761012969294332,0.005762238812483838,1.3456503775061286,1.0899509065341524,1.661336237831413
M0_full,PRIOR_HF_ADMISSION,0.28751631661345345,0.0786846121684522,3.6540348702224423,0.0002581511848653384,1.33311234386455,1.142589651881504,1.5554040056616436
M0_full,PCI_HISTORY,0.07909620374052163,0.0797312236042708,0.9920354933106137,0.32118021162624466,1.0823084391822542,0.9257286489530466,1.2653724812880243
M0_full,ICD_PACEMAKER,0.35699226236857073,0.1916951750871624,1.8622913289614562,0.06256203704412472,1.4290248125437957,0.9814508167492033,2.0807073365426363
M1_drop_DIGOXIN,const,-0.24643035968090848,0.303742521973181,-0.811313338942603,0.4171857517844745,0.7815857895255713,0.43095363790866187,1.4174989898049832
M1_drop_DIGOXIN,SBP_PER10_DECREASE,0.013559863400958173,0.0129585920933218,1.0463994316131178,0.29537665507296174,1.0136522153029635,0.988231289059824,1.0397270608241234
M1_drop_DIGOXIN,SCR,0.2817848792498975,0.05980227644095043,4.7119423543706676,2.453667956301047e-06,1.325493548148368,1.178891477663891,1.4903264460478713
M1_drop_DIGOXIN,HB,-0.10914769112941994,0.016131275276910006,-6.766215891539079,1.3219424359896183e-11,0.8965979881496506,0.8686939434615635,0.9253983619946468
M1_drop_DIGOXIN,ACE_INHIBITOR,-0.02350120236790869,0.10562799186138619,-0.22249028835792803,0.8239322325943454,0.9767728002278687,0.7941139912960781,1.2014460313283537
M1_drop_DIGOXIN,ARB,0.12322873713086205,0.10132722928058593,1.216146321238376,0.22392918768836456,1.1311431257918474,0.9274012279827063,1.379645327631602
M1_drop_DIGOXIN,STATIN,-0.12554154227668182,0.06969724119673684,-1.8012411986625312,0.07166487138278543,0.8820191225835163,0.7693989719436832,1.0111239564535566
M1_drop_DIGOXIN,DIURETIC,0.4892115019437845,0.07593165333047451,6.442787434307633,1.1729892836257847e-10,1.6310296490847886,1.4054930916542194,1.8927575894824302
M1_drop_DIGOXIN,NITRATES,-0.16908399034718397,0.12707254723861722,-1.330609907659107,0.18331740076649938,0.8444379757686983,0.6582690067475417,1.0832584970749113
M1_drop_DIGOXIN,COPD,0.17863532950732114,0.10730069304980805,1.6648105844423593,0.0959505515920147,1.1955846702103388,0.9688260827303363,1.4754172385755546
M1_drop_DIGOXIN,CVA_TIA,0.29709723264426424,0.1075196192207127,2.763190892951294,0.005723927942420962,1.3459461629903553,1.0902016197027997,1.6616844452701447
M1_drop_DIGOXIN,PRIOR_HF_ADMISSION,0.28869067882927796,0.0783646382051672,3.68394068346815,0.00022965570514897268,1.334678820255946,1.144649881945411,1.556255394192893
M1_drop_DIGOXIN,PCI_HISTORY,0.07856057374123614,0.07966588931102797,0.9861256106051046,0.3240714775180128,1.0817288775429048,0.9253514200003063,1.2645329538802084
M1_drop_DIGOXIN,ICD_PACEMAKER,0.3556344554671824,0.19153800673066088,1.85673048152408,0.06334950856270558,1.42708578949841,0.980421066995538,2.0772440731300286
M2_drop_ACE_INHIBITOR,const,-0.24956939450358384,0.30326350097580507,-0.8229457013473407,0.41053887210347617,0.7791362111826199,0.4300065085519778,1.4117303424551058
M2_drop_ACE_INHIBITOR,SBP_PER10_DECREASE,0.013373105775406608,0.012911574515494396,1.0357455443840995,0.30032086858230256,1.0134629256982872,0.9881378019930157,1.0394371105865168
M2_drop_ACE_INHIBITOR,SCR,0.2824371132692757,0.05973848101814662,4.727892448143775,2.2686229059372256e-06,1.326358362132829,1.1798081517332568,1.4911123492537328
M2_drop_ACE_INHIBITOR,HB,-0.10933887584688336,0.01610886829443865,-6.787495797245484,1.1409658186841709e-11,0.8964265887016076,0.8685660222014912,0.9251808249353616
M2_drop_ACE_INHIBITOR,ARB,0.12629117883374455,0.1003982009724021,1.2579028071275902,0.20842690837649314,1.1346124953317114,0.9319410855863215,1.3813593310492713
M2_drop_ACE_INHIBITOR,STATIN,-0.12636268538494563,0.06959884332145305,-1.815585997619529,0.06943390314997892,0.8812951559404392,0.7689157205390821,1.0100991970089475
M2_drop_ACE_INHIBITOR,DIURETIC,0.4879657464508857,0.0757252698311632,6.443895776652264,1.1644506444794525e-10,1.6289990500179394,1.4043112160066553,1.8896366237858013
M2_drop_ACE_INHIBITOR,NITRATES,-0.16916263219010336,0.12707372463342728,-1.3312164468153507,0.1831178012375696,0.8443715702212142,0.6582157223610052,1.0831758105692997
M2_drop_ACE_INHIBITOR,COPD,0.1799213940013388,0.10714805090524189,1.679184945328172,0.09311600506730054,1.1971232583540155,0.9703631202273727,1.4768740338733546
M2_drop_ACE_INHIBITOR,CVA_TIA,0.29678706904501145,0.10751027390959648,2.7605461157561044,0.005770481054960462,1.3455287642183407,1.0898834939175905,1.6611387046805097
M2_drop_ACE_INHIBITOR,PRIOR_HF_ADMISSION,0.2887192681348754,0.07836320809615092,3.684372745186996,0.0002292665309241749,1.3347169783420667,1.144685815665018,1.556295524846364
M2_drop_ACE_INHIBITOR,PCI_HISTORY,0.07863513212125589,0.07966435429927114,0.987080518168153,0.3236031675571647,1.0818095325023491,0.9254231994693999,1.2646234342125424
M2_drop_ACE_INHIBITOR,ICD_PACEMAKER,0.3552237253621371,0.19152224954151964,1.8547386855182537,0.06363355156841775,1.426499762759831,0.9800487281247853,2.076326936363065
M3_drop_PCI_HISTORY,const,-0.2557992748411303,0.30336882139644195,-0.8431956641544656,0.39911902295465007,0.7742973741582835,0.42724774334661975,1.403252405576822
M3_drop_PCI_HISTORY,SBP_PER10_DECREASE,0.013585434994522258,0.012929607139221453,1.0507229530053839,0.2933858509377927,1.0136781363368483,0.9883127039541164,1.0396945824699737
M3_drop_PCI_HISTORY,SCR,0.28831034447656395,0.05952577462249207,4.843453887076753,1.2760134554633767e-06,1.3341712925719875,1.187252685108457,1.49927059357259
M3_drop_PCI_HISTORY,HB,-0.10849866566906921,0.016084412856702198,-6.745578258634353,1.5241875437437116e-11,0.8971800919513194,0.8693377747886951,0.9259141161666743
M3_drop_PCI_HISTORY,ARB,0.12345643666881007,0.10035668450900462,1.2301765176163506,0.2186310113275658,1.1314007158844028,0.9293786349702718,1.3773369988698794
M3_drop_PCI_HISTORY,STATIN,-0.11593557881225097,0.06878577084761035,-1.6854587421735439,0.09190009845100053,0.8905325906168341,0.7782144015875089,1.0190614480186446
M3_drop_PCI_HISTORY,DIURETIC,0.4915642221914962,0.07564499439445345,6.498304694534281,8.123015949694219e-11,1.6348715232201845,1.40959546302343,1.896150326493963
M3_drop_PCI_HISTORY,NITRATES,-0.15359310477026053,0.12604372074876402,-1.218570063291048,0.2230074172513853,0.8576209118835982,0.6698950250413955,1.0979535613876281
M3_drop_PCI_HISTORY,COPD,0.1802985540889481,0.10715381002001508,1.682614496444601,0.09244974354615099,1.197574850622952,0.9707182142958254,1.4774478337000891
M3_drop_PCI_HISTORY,CVA_TIA,0.2958365688882174,0.10751557247233424,2.7515694897531393,0.005931043487356214,1.3442504465338014,1.0888367440379672,1.659577776834573
M3_drop_PCI_HISTORY,PRIOR_HF_ADMISSION,0.2914007785463293,0.07832897390758332,3.72021697731084,0.00019905169420955166,1.3383008387478528,1.1478364363981755,1.560369646927557
M3_drop_PCI_HISTORY,ICD_PACEMAKER,0.36001940506142477,0.19147272021015196,1.8802647430207469,0.060072005833341345,1.433357228675538,0.9848556167121267,2.086105729746732
M4_drop_SBP_PER10_DECREASE,const,-0.4523733640902298,0.24012556979219132,-1.8839033447446738,0.05957805073416863,0.6361166222780464,0.3973209714425872,1.0184319132948205
M4_drop_SBP_PER10_DECREASE,SCR,0.2876005375980405,0.05944521591571237,4.838077096159101,1.3110129166790022e-06,1.3332246246268473,1.186597603672775,1.4979702421525967
M4_drop_SBP_PER10_DECREASE,HB,-0.10856530479051535,0.016086890210980538,-6.7486818997752085,1.4919427572480497e-11,0.897120306650255,0.8692756240134535,0.9258569116298969
M4_drop_SBP_PER10_DECREASE,ARB,0.12399342359726417,0.10036383055715474,1.2354393301743596,0.21666704287034022,1.1320084264313834,0.9298648093933518,1.3780961109257122
M4_drop_SBP_PER10_DECREASE,STATIN,-0.1198730499249748,0.06865511000301253,-1.7460178844621308,0.08080784418795454,0.8870330384803901,0.7753547651501778,1.0147968990728435
M4_drop_SBP_PER10_DECREASE,DIURETIC,0.4849383132862116,0.07538238154837217,6.433045803614354,1.2507194041057417e-10,1.6240748219154495,1.4010074155513987,1.8826588624026686
M4_drop_SBP_PER10_DECREASE,NITRATES,-0.16095877470875206,0.12586128408416217,-1.278858513799371,0.20094688407799466,0.8513271665941254,0.6652167453580098,1.089506464830689
M4_drop_SBP_PER10_DECREASE,COPD,0.18276142861282635,0.10710225710798882,1.706419953676159,0.08792991812097406,1.200527962292,0.9732102479385061,1.4809414423018394
M4_drop_SBP_PER10_DECREASE,CVA_TIA,0.29788888931473656,0.1074675671820483,2.771895718176235,0.005573088726754464,1.3470121121255838,1.091176343067419,1.6628307988353443
M4_drop_SBP_PER10_DECREASE,PRIOR_HF_ADMISSION,0.3024636784423459,0.07763033785142197,3.8962045871967774,9.77118591718625e-05,1.3531885256135108,1.1621956434863732,1.5755687918077599
M4_drop_SBP_PER10_DECREASE,ICD_PACEMAKER,0.36380760213371893,0.19140569857079312,1.9007145808627084,0.0573394076598618,1.4387973659831752,0.988723389535607,2.0937482437150043
M5_drop_ARB,const,-0.4132911774977703,0.23803246157629035,-1.7362807356647396,0.08251420778831237,0.6614696497065418,0.4148549950452401,1.0546868248149717
M5_drop_ARB,SCR,0.28641590067415923,0.05945954189334996,4.816988014941171,1.4574143867966759e-06,1.3316461726395352,1.185159470774422,1.4962387533778916
M5_drop_ARB,HB,-0.11077322368587648,0.015990939937329137,-6.92724906228234,4.291027500693648e-12,0.8951417228538489,0.8675215811692898,0.9236412342777138
M5_drop_ARB,STATIN,-0.11681405147603921,0.06859964443624483,-1.7028375647719851,0.0885984708108876,0.8897506255974993,0.7778147576016412,1.0177952629648985
M5_drop_ARB,DIURETIC,0.4879158048058096,0.07534104950825864,6.476095143223693,9.412670833539001e-11,1.628917697157019,1.4052989573909067,1.8881198553207543
M5_drop_ARB,NITRATES,-0.15880156036584278,0.12578186633270808,-1.2625155357910947,0.20676333957728532,0.8531656440504221,0.6667570860125109,1.0916893595253272
M5_drop_ARB,COPD,0.19516400880432822,0.10659695469827214,1.8308591399890308,0.06712157042187714,1.2155103245376626,0.986332082647781,1.4979390562775157
M5_drop_ARB,CVA_TIA,0.29962323190271095,0.10744549918127456,2.788606634859665,0.005293531749381307,1.3493503196384953,1.0931177377560963,1.6656451745500505
M5_drop_ARB,PRIOR_HF_ADMISSION,0.3041345932851023,0.07759218331901115,3.919655051265778,8.867579713829301e-05,1.3554514784802674,1.1642262560824843,1.5780856177359526
M5_drop_ARB,ICD_PACEMAKER,0.3680049607124993,0.1913235875756558,1.9234688486435458,0.05442119506111369,1.444849206437619,0.9930419398515765,2.102216578743327
M6_drop_NITRATES,const,-0.40687882642636364,0.23809498135632,-1.708892913695862,0.08747078738904812,0.6657248536738662,0.41747257946156574,1.0616016538635742
M6_drop_NITRATES,SCR,0.28437174379873154,0.05942658839051762,4.7852611347971505,1.7076516481447182e-06,1.3289268592585741,1.1828156862001402,1.4930868924577583
M6_drop_NITRATES,HB,-0.11208341082388822,0.015966944990004506,-7.019715474316079,2.2232051006371175e-12,0.8939696876422565,0.8664264562293669,0.922388503579614
M6_drop_NITRATES,STATIN,-0.12370566209906259,0.06838713901371413,-1.8089024322870864,0.07046616248500015,0.8836398913203193,0.7727945939059006,1.0103842129460627
M6_drop_NITRATES,DIURETIC,0.4940787092698713,0.07518686790607691,6.571343148474706,4.9863395410956865e-11,1.6389875592311207,1.4144137807959594,1.8992180759174206
M6_drop_NITRATES,COPD,0.20220539733594858,0.1064276400186083,1.8999331123061083,0.05744189797085614,1.2240994090494879,0.9936314218476869,1.5080233276529744
M6_drop_NITRATES,CVA_TIA,0.3018301807572761,0.10742828728567136,2.8095968797738973,0.004960358749530335,1.3523315552880901,1.095569814827816,1.6692689143825366
M6_drop_NITRATES,PRIOR_HF_ADMISSION,0.30231901365668123,0.07755370904394371,3.898188976176244,9.691477426715617e-05,1.3529927810445035,1.1622020645387776,1.5751042967601445
M6_drop_NITRATES,ICD_PACEMAKER,0.36492740787682576,0.19129765245172806,1.9076418513233524,0.05643752204424984,1.4404094419742894,0.9900408230935572,2.095650312727176
M7_drop_STATIN,const,-0.4483644845963259,0.23706380430972973,-1.8913240926924744,0.05858109448611694,0.6386718555498414,0.40131805835564116,1.0164051444453115
M7_drop_STATIN,SCR,0.2835879087522371,0.05927629213422629,4.7841708470913735,1.7169460135335812e-06,1.3278856079500054,1.182237123582697,1.4914776000750534
M7_drop_STATIN,HB,-0.11466869579688639,0.015917137728881203,-7.204102757044266,5.842729345778143e-13,0.8916615061815008,0.8642737565694549,0.9199171391732172
M7_drop_STATIN,DIURETIC,0.49257075022112445,0.07517608166167308,6.55222697610018,5.668529424102719e-11,1.6365178956541526,1.412312366961519,1.8963162013218202
M7_drop_STATIN,COPD,0.2100932243929257,0.10637817860860292,1.9749654218645853,0.04827207216762693,1.233793074205932,1.001597099586342,1.5198180491808626
M7_drop_STATIN,CVA_TIA,0.2888260777720174,0.10718980039750933,2.6945294860230806,0.007048808959560231,1.3348595465919066,1.0819207453841482,1.6469321036032865
M7_drop_STATIN,PRIOR_HF_ADMISSION,0.30542410629090627,0.07755629734226871,3.9380955094209744,8.213090424275165e-05,1.3572004782271048,1.165810504017783,1.5800107579677325
