model,AUC_mean,AUC_sd,acc_mean,acc_sd,logloss_mean,logloss_sd,brier_mean,brier_sd
LASSO,0.6529483065145073,0.026212476228361065,0.7550597125921389,0.002223316468591049,0.5296080010961897,0.007589573012917276,0.17421199345526636,0.003083013719246161
Ridge,0.654245728121807,0.02361892656787683,0.7558232536436347,0.003078336543219694,0.5291774458490287,0.0076831827253286585,0.17407373063775905,0.0030275164484214307
