term,coef_standardised,coef_raw,odds_ratio_raw,kept
const,-1.2018379869695917,-0.39585588180580966,0.6731036954366114,True
SBP_PER10_DECREASE,0.03267102158968649,0.011331227987541546,1.0113956695219581,True
SCR,0.14488460165771538,0.26155720013697265,1.2989512396357927,True
HB,-0.21602084385547574,-0.09523321336995925,0.909160881269416,True
ACE_INHIBITOR,-0.008116663154982787,-0.025021376688157893,0.9752890633553245,True
ARB,0.03863337722855358,0.12192926698956232,1.1296741936977484,True
STATIN,-0.05341665092276212,-0.11043034678179323,0.8954486989009875,True
DIGOXIN,0.009692228637401407,0.04563657373375571,1.0466939457529951,True
DIURETIC,0.21390363615596175,0.42852959820455894,1.534998798349357,True
NITRATES,-0.04469304279923263,-0.1550528696432527,0.8563699003156082,True
COPD,0.049276096546720986,0.16650963355541362,1.1811749147295585,True
CVA_TIA,0.07654310217174697,0.26655354210781945,1.3054574844095415,True
PRIOR_HF_ADMISSION,0.12221849342193689,0.28286620527142825,1.3269276140199902,True
PCI_HISTORY,0.029013361083369365,0.06840734116240671,1.070801401140946,True
ICD_PACEMAKER,0.05157991959982365,0.33155000170868937,1.3931258032074159,True
