fold,n_train,n_test,chosen_C,AUC,accuracy,log_loss,brier
1,4190,1048,0.004291934260128779,0.6527896229595985,0.7585877862595419,0.5286423716366269,0.17454472129771653
2,4190,1048,0.0062505519252739694,0.6305658581090461,0.7547709923664122,0.5365303874811064,0.17755891332189896
3,4190,1048,0.0062505519252739694,0.6795949939506931,0.7519083969465649,0.5244295808312172,0.17145348424431064
4,4191,1047,0.0062505519252739694,0.6314901285331688,0.7545367717287488,0.5370049627695566,0.17628127157619738
5,4191,1047,0.0062505519252739694,0.676788037056528,0.7593123209169055,0.5192799265266365,0.17053026274867175
