fold,n_train,n_test,chosen_C,AUC,accuracy,log_loss,brier
1,4190,1048,0.02811768697974228,0.6499831412761062,0.7566793893129771,0.5287671386147549,0.17453128525034564
2,4190,1048,0.040949150623804234,0.623906662171007,0.7538167938931297,0.5378152976908502,0.17810259658614286
3,4190,1048,0.040949150623804234,0.6849798687002915,0.7519083969465649,0.5240358234542314,0.17112098318902205
4,4191,1047,0.05963623316594643,0.6320775380571679,0.7554918815663801,0.5367632285765037,0.1761626167115013
5,4191,1047,0.040949150623804234,0.6737943223679638,0.7574021012416428,0.5206585171446081,0.17114248553932007
