term,coef_standardised,coef_raw,odds_ratio_raw,kept
const,-1.2083270407800764,-0.33935514054697014,0.7122294626080532,True
SBP_PER10_DECREASE,0.026454095935726264,0.009175023542778877,1.0092172430942923,True
SCR,0.15049521494268994,0.27168592524011476,1.312174815595796,True
HB,-0.23916192958658314,-0.10543500647339457,0.8999329607629233,True
ACE_INHIBITOR,0.0,0.0,1.0,False
ARB,0.03070772471575648,0.09691542997546099,1.1017671932023656,True
STATIN,-0.048401162078672434,-0.10006162911108232,0.9047816554285296,True
DIGOXIN,0.0,0.0,1.0,False
DIURETIC,0.23868320581747726,0.4781724150428325,1.6131235861805868,True
NITRATES,-0.03529890851965245,-0.12246194750787359,0.8847395708484973,True
COPD,0.04622415845104162,0.15619678149206986,1.1690562290857704,True
CVA_TIA,0.07536902743247773,0.262464946642361,1.3001308934165372,True
PRIOR_HF_ADMISSION,0.12292807786632981,0.2845084891311394,1.3291085962292473,True
PCI_HISTORY,0.018202486001891047,0.042917594633633815,1.043851872310332,True
ICD_PACEMAKER,0.04718909835809288,0.30332628981668086,1.354356305024814,True
